"","X","ID","Name","Age","Nationality","Overall","Potential","Club","Preferred.Foot","International.Reputation","Weak.Foot","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","Crossing","Finishing","HeadingAccuracy","ShortPassing","Volleys","Dribbling","Curve","FKAccuracy","LongPassing","BallControl","Acceleration","SprintSpeed","Agility","Reactions","Balance","ShotPower","Jumping","Stamina","Strength","LongShots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","StandingTackle","SlidingTackle","GKDiving","GKHandling","GKKicking","GKPositioning","GKReflexes"
"1",1,158023,"L. Messi",31,"Argentina",94.0284282302582,94.07105509228,"FC Barcelona","Left",5,4,"RF",10,"2021","5'7","159lbs",83.7967456260516,95.177360797972,69.4487895740998,90.31314933827,86.4487234444911,97.2498513218855,92.8352278497495,94.1894364407906,86.6986861616162,96.0946718727529,91.0500750686662,84.8916080886874,91.0457570700948,95.1284533044424,94.9559371888859,84.5755841556431,68.1070055498482,72.5133624926975,58.3618951449823,93.6451979548013,48.2478551910081,21.8933844514081,93.4275790139538,93.8017658770784,75.3569888165483,96.2946702756195,32.6573281342448,27.8350258245816,26.1820697129266,6.08215029790298,11.9694593518824,14.8036535962958,15.0303434993937,8.25201985188278
"2",2,20801,"Cristiano Ronaldo",33,"Portugal",93.7909533462294,94.0550924873956,"Juventus","Right",5,4,"ST",7,"2022","6'2","183lbs",84.3470363324165,94.0104520622025,88.9032481832809,81.279545824065,86.8046246105886,88.2304038474755,81.0935363121969,75.7238637436406,77.5171223520321,94.5540158461165,89.3615249524574,91.1218187038363,86.8775519615975,95.9378549708289,69.5595665084839,95.2707210527676,94.8051666173636,87.7167321289534,78.3319738748669,92.8677730957188,63.070657441872,28.9865779688097,95.9768727249874,83.0436003833226,85.5215545997113,95.0253626677195,27.5488275736048,30.7087159049719,22.6526093085909,7.35189032603708,11.3979745072694,14.2934980982562,14.4097011597524,10.4661290576378
"3",3,190871,"Neymar Jr",26,"Brazil",92.2727180562166,92.8719987115905,"Paris Saint-Germain","Right",5,5,"LW",10,"2022","5'9","150lbs",78.8093969011117,87.1006485718786,62.0499821403969,83.2390105560409,83.7856296524926,96.0105049128717,87.848852467922,86.7522763080057,78.0098593211901,95.2513669887672,93.0942233309645,90.0605074250447,95.9927116560424,95.2160698870467,83.4253886988561,79.9969258184721,61.3120498196284,81.0047289049494,49.0308436258693,82.073000484492,56.4356089765572,35.9563304888834,89.4370276557857,87.5588745155894,81.6121092903349,93.3655196528505,26.7614280111394,24.3389182494494,32.3982199120165,8.5781619801016,9.32430579921995,14.4572055508433,15.2815401205109,10.9971785113743
"4",4,193080,"De Gea",27,"Spain",91.4064321341303,93.1216297592263,"Manchester United","Right",4,3,"GK",1,"2020","6'4","168lbs",17.2587374739844,13.3517131524443,21.1444987202406,50.3360125790508,13.0527747631114,17.4723508461997,21.4677907317611,19.1771398264085,51.4872024684699,42.2128661765603,57.0909151127288,57.6189291601788,59.3981494860263,89.9199530206683,43.5400367604388,30.8768615616229,66.8413810727919,42.7390622774578,64.3985709830693,11.8919610282812,37.8565157777559,29.6818692055805,12.005126362807,67.6003846531229,39.4097804312615,67.6481385158924,14.9485782945754,20.5397759669391,12.560522853577,89.4831593736064,85.1531066734451,86.6194376651636,87.5977619222884,93.6906406586752
"5",5,192985,"K. De Bruyne",27,"Belgium",91.415035560907,91.3788364556861,"Manchester City","Right",4,5,"RCM",7,"2023","5'11","154lbs",93.0096980474791,81.9079779645369,55.4890884109592,91.7043019123561,81.9731341342612,85.8594785847332,84.9003332332991,83.2627684708797,91.348565329215,90.9513490630031,78.5137366393237,76.6120417524032,79.2490696743755,90.8641990194084,76.8786826330657,90.6324070011281,62.1497693870593,89.385820965444,74.7057420602133,90.9296040598792,75.0076701823578,60.8058070764444,87.0749974819446,94.5228128656541,79.2383509849471,87.2445154901553,67.6687417150378,57.6838702724671,52.1636414142221,14.9140366543107,13.8950868706165,4.49100038818458,9.97977958676955,13.189482185629
"6",6,183277,"E. Hazard",27,"Belgium",90.3862340479394,90.8283485332729,"Chelsea","Right",4,4,"LF",10,"2020","5'8","163lbs",80.82631977371,84.2804602866456,60.177754328202,88.5389771646546,80.0614322663781,94.2676394060811,83.038886541259,78.9248201511958,82.5228030743008,94.3916728680898,94.5331777599256,87.8234981170827,94.4537453368613,90.4086696106148,94.0338814172478,81.816868274999,56.7141254929,83.4472558262737,65.9607761090692,80.80724258561,54.3900320166749,40.8989948978142,86.7375578832119,89.1324944713889,86.0915009327116,90.8376738010378,34.3933559451397,26.2328536044829,20.9535026446187,10.5630976034167,11.7742208180729,5.819671031937,7.48607606862393,7.71946125623581
"7",7,177003,"L. Modric",32,"Croatia",91.8820472701454,90.5449924544037,"Real Madrid","Right",4,4,"RCM",10,"2020","5'8","146lbs",85.7588282362013,71.2833813328148,54.9846690848049,92.520862532863,76.2187455811192,89.4826945621273,85.1909485919111,78.2395889794783,88.2892394100531,92.7585772090723,80.0924688570627,72.0554600028462,92.6136703594978,89.9229458982886,93.8914226383028,78.7089466456122,68.2130973000244,89.3538236359485,57.8325238168362,82.0990101307361,62.8842402924775,83.8134975421178,79.4384927786006,91.9679867171237,82.2104267432672,84.3878956399488,59.9097713053704,75.4397129492641,73.2598564789681,13.1240516164119,8.86256800963527,6.64242030512388,14.0091472189804,9.099421682319
"8",8,176580,"L. Suárez",31,"Uruguay",90.8610892151115,90.944538980135,"FC Barcelona","Right",5,4,"RS",9,"2021","6'0","190lbs",77.9905512682685,92.5514394104186,77.2242466970644,82.4133311089891,87.4501226683646,87.3925650595324,85.2840338503798,83.9616388325398,63.9397174899552,89.249804874831,86.1363034256858,75.0559538285669,81.6642526937478,92.149399443147,82.8757009379045,85.7965334381069,68.8829503965319,89.8685677708585,82.8635790678199,84.7895487497696,86.9939849864877,41.8092746796918,92.5014958888915,84.796350853259,84.9874239369244,85.7612449954533,61.7204407934112,44.9818174134021,38.4139184683113,26.5029024759234,25.2796302286643,30.7275306129793,33.4889388868551,36.7910333033812
"9",9,155862,"Sergio Ramos",32,"Spain",91.4349875758018,91.3755198429618,"Real Madrid","Right",4,3,"RCB",15,"2020","6'0","181lbs",66.4519755633331,60.2323523937234,90.616552490559,78.9594552038601,65.8009510085248,63.7300838472044,74.3590272005807,71.4883827409541,77.1224027670839,83.9515918719311,75.3099809079338,74.9323729790032,78.0660665332773,84.4158489224088,65.6585648659402,79.045852565983,92.9152346502152,83.7126019346716,82.8760686479015,59.393963549437,87.8932625320198,89.7181120371224,59.7891771217806,62.4263828896141,74.4562439448842,81.8668915635877,87.5820116217126,92.3559243775888,91.5458265981485,11.7177665375168,8.22952095593391,8.84091248188176,7.53129803832451,11.7543040106687
"10",10,200389,"J. Oblak",25,"Slovenia",89.5715392968007,92.9036837914277,"Atlético Madrid","Right",3,3,"GK",1,"2021","6'2","192lbs",13.3488349177877,10.7466800327551,15.2926383739906,28.8752462538682,12.5213845394878,11.5846367284257,13.6006436430083,13.6029429032826,25.6299398937085,15.744550266908,42.9747700145729,61.1717337837094,66.4462112201179,86.0838230744598,49.1000566168623,22.7294224421219,76.0859570928589,41.2502705477175,77.7531719031192,11.3829510352193,34.30204002615,18.9200645990701,10.9525505984585,70.5716791491472,11.4218252167126,70.4811133817133,26.9464447745709,12.0804088382743,17.5285494436114,85.5850429982152,91.7859588444107,77.5020280295451,87.5622035207772,89.3611260617006
